# frame  Ti_index  nn_rank  nn_index  nn_symbol  distance_A
11 1 2 4 O 1.8047875221199863
11 1 3 14 O 1.8891026970495808
11 1 4 6 O 1.9014010623747952
11 2 1 5 O 1.7588010120533817
11 2 2 11 O 1.7704897627492795
11 2 3 14 O 1.9508259789125222
11 2 4 4 O 1.9614650137078664
11 9 1 13 O 1.6220906263214765
11 9 2 8 O 1.8898111016712758
11 9 3 3 O 1.9943352275883812
11 9 4 6 O 2.4833175390996622
11 10 1 7 O 1.6443713084337126
11 10 2 11 O 1.9321971949053234
11 10 3 12 O 1.9586436633548228
11 10 4 5 O 1.9763443525863607
12 0 1 12 O 1.8066875767547637
12 0 2 6 O 1.8396146335578005
12 0 3 8 O 1.8427840350947258
12 0 4 14 O 1.9084910269634487
12 1 1 3 O 1.77260965810299
12 1 2 4 O 1.8013633725597953
12 1 3 14 O 1.8920216700661756
12 1 4 6 O 1.8974235162451214
12 2 1 5 O 1.754251122274117
12 2 2 11 O 1.7728942438848405
12 2 3 14 O 1.9457065554702744
12 2 4 4 O 1.9654561811447233
12 9 1 13 O 1.6288330178382315
12 9 2 8 O 1.8915245174197453
12 9 3 3 O 1.988600764356687
12 9 4 6 O 2.4825748729897352
12 10 1 7 O 1.6508085897523066
12 10 2 11 O 1.9355603839715259
12 10 3 12 O 1.9542267012810979
12 10 4 5 O 1.9724180591345233
13 0 1 12 O 1.8107774573370412
13 0 2 8 O 1.8431898979757892
13 0 3 6 O 1.844942546530921
13 0 4 14 O 1.9116152855634942
13 1 1 3 O 1.776061372813451
13 1 2 4 O 1.8009233742722095
13 1 3 6 O 1.8926875072235245
13 1 4 14 O 1.895249851602685
13 2 1 5 O 1.7500354282128119
13 2 2 11 O 1.775429243873154
13 2 3 14 O 1.9409680574393797
13 2 4 4 O 1.9687894757947078
13 9 1 13 O 1.6339213567366089
13 9 2 8 O 1.894679656300769
13 9 3 3 O 1.9805345238091658
13 9 4 6 O 2.481906726692202
13 10 1 7 O 1.6550471292383184
13 10 2 11 O 1.9399023171283651
13 10 3 12 O 1.950056665843329
13 10 4 5 O 1.970019289245666
14 0 1 12 O 1.813677479597737
14 0 2 8 O 1.8453438703938083
14 0 3 6 O 1.851060776960065
14 0 4 14 O 1.9134662265114584
14 1 1 3 O 1.7817118173262476
14 1 2 4 O 1.7983906694597813
14 1 3 6 O 1.8876419151947224
14 1 4 14 O 1.8995481041553015
14 2 1 5 O 1.7458261654586347
14 2 2 11 O 1.7778754174575901
14 2 3 14 O 1.9378310039835775
14 2 4 4 O 1.9737955821209043
14 9 1 13 O 1.639765227098075
14 9 2 8 O 1.897265400517281
14 9 3 3 O 1.9713368560446487
14 9 4 6 O 2.480279016562451
14 10 1 7 O 1.6583488776490907
14 10 2 11 O 1.9432722403204346
14 10 3 12 O 1.9465497681795862
14 10 4 5 O 1.9670406706522363
15 0 1 12 O 1.816518923655903
15 0 2 8 O 1.8453820742599623
15 0 3 6 O 1.8565020872598017
15 0 4 14 O 1.915445901089352
15 1 1 3 O 1.785428239946932
15 1 2 4 O 1.7964439874374043
15 1 3 6 O 1.8827527718742043
15 1 4 14 O 1.9033977513909173
15 2 1 5 O 1.739968103155917
15 2 2 11 O 1.780718113571039
15 2 3 14 O 1.9348493481405729
15 2 4 4 O 1.9777932146713415
15 9 1 13 O 1.6433030761244258
15 9 2 8 O 1.9001423630875662
15 9 3 3 O 1.9630461023623464
15 9 4 6 O 2.4791091141779136
15 10 1 7 O 1.6590675091749578
15 10 2 12 O 1.9445961020222167
15 10 3 11 O 1.946959937954554
15 10 4 5 O 1.9648809124219206
16 0 1 12 O 1.8188490866479274
16 0 2 8 O 1.8454251542666256
16 0 3 6 O 1.8626252977987818
16 0 4 14 O 1.9163227807444132
16 1 1 3 O 1.7899243000752851
16 1 2 4 O 1.7946537270459726
16 1 3 6 O 1.8767165475904983
16 1 4 14 O 1.9085955569475688
16 2 1 5 O 1.7346593325491895
16 2 2 11 O 1.7840756710408896
16 2 3 14 O 1.9336995630138618
16 2 4 4 O 1.98179337974472
16 9 1 13 O 1.6467392021810863
16 9 2 8 O 1.9038818240636681
16 9 3 3 O 1.9540632026625957
16 9 4 6 O 2.4770387562571563
16 10 1 7 O 1.6592263257313635
16 10 2 12 O 1.9418344419646079
16 10 3 11 O 1.952123459210508
16 10 4 5 O 1.9627839921906842
17 0 1 12 O 1.8196505158958411
17 0 2 8 O 1.8446078173964247
17 0 3 6 O 1.869818707789608
17 0 4 14 O 1.9168925374156998
17 1 1 4 O 1.79265891903619
17 1 2 3 O 1.7948576545230543
17 1 3 6 O 1.8706012402433607
17 1 4 14 O 1.912916621288027
17 2 1 5 O 1.730002601154114
17 2 2 11 O 1.7869667036629417
17 2 3 14 O 1.9335485512394044
17 2 4 4 O 1.986805476134994
17 9 1 13 O 1.6505526347257151
17 9 2 8 O 1.906660431225235
17 9 3 3 O 1.9452765870178974
17 9 4 6 O 2.476300870249817
17 10 1 7 O 1.657112247254241
17 10 2 12 O 1.940791848705059
17 10 3 11 O 1.955821055209295
17 10 4 5 O 1.961290136619261
18 0 1 12 O 1.8200519223362832
18 0 2 8 O 1.8442754674939423
18 0 3 6 O 1.8770170484041961
18 0 4 14 O 1.9186104346635875
18 1 1 4 O 1.7909463978578477
18 1 2 3 O 1.797498261473429
18 1 3 6 O 1.8656382285963162
18 1 4 14 O 1.9182390361996078
18 2 1 5 O 1.7262184102830094
18 2 2 11 O 1.7907498429428943
18 2 3 14 O 1.9332969249445362
18 2 4 4 O 1.9908101366026845
18 9 1 13 O 1.6528720458644102
18 9 2 8 O 1.9106951614530248
18 9 3 3 O 1.9352966180924307
18 9 4 6 O 2.4742548373197133
18 10 1 7 O 1.653778098778672
18 10 2 12 O 1.9397579745937379
18 10 3 5 O 1.9598186140559029
18 10 4 11 O 1.9606544825644319
19 0 1 12 O 1.8196035282445462
19 0 2 8 O 1.842541994094029
19 0 3 6 O 1.884337814724313
19 0 4 14 O 1.9182137524269811
19 1 1 4 O 1.7889698152847633
19 1 2 3 O 1.8023298810151265
19 1 3 6 O 1.8585314094736198
19 1 4 14 O 1.9235472440259949
19 2 1 5 O 1.7208747775477449
19 2 2 11 O 1.7945589987515038
19 2 3 14 O 1.9346159825660492
19 2 4 4 O 1.9948172848659598
19 9 1 13 O 1.653433397509558
19 9 2 8 O 1.9148185292606712
19 9 3 3 O 1.9243710660888664
19 9 4 6 O 2.4730689436406736
19 10 1 7 O 1.648253924612345
19 10 2 12 O 1.938879573361894
19 10 3 5 O 1.9592319923888546
19 10 4 11 O 1.9663138101534048
20 0 1 12 O 1.8183701493370374
20 0 2 8 O 1.8404273960143063
20 0 3 6 O 1.890836058467259
20 0 4 14 O 1.9196853908909137
20 1 1 4 O 1.7870565184123306
20 1 2 3 O 1.806440145700931
20 1 3 6 O 1.8523374422604535
20 1 4 14 O 1.9292519275615614
20 2 1 5 O 1.7165666313895305
20 2 2 11 O 1.7987976539900201
20 2 3 14 O 1.9365001936483248
20 2 4 4 O 1.9985081936284375
20 9 1 13 O 1.6539957678301356
20 9 2 3 O 1.914152292791773
20 9 3 8 O 1.9178996324104136
20 9 4 6 O 2.4705701771048725
20 10 1 7 O 1.6411526437233066
20 10 2 12 O 1.9394880767872744
20 10 3 5 O 1.9596387422175547
20 10 4 11 O 1.9708409372651057
21 0 1 12 O 1.817415197471398
21 0 2 8 O 1.8375007482991677
21 0 3 6 O 1.8988341159774857
21 0 4 14 O 1.9191688305097079
21 1 1 4 O 1.7846447825827974
21 1 2 3 O 1.8102963845735318
21 1 3 6 O 1.846300354763547
21 1 4 14 O 1.9350640816262392
21 2 1 5 O 1.7126791877056249
21 2 2 11 O 1.80130452728016
21 2 3 14 O 1.9395713443954568
21 2 4 4 O 2.004509166853572
21 9 1 13 O 1.652877188420241
21 9 2 3 O 1.9031673599555032
21 9 3 8 O 1.923661612654367
21 9 4 6 O 2.4698935199720653
21 10 1 7 O 1.6328285274333
21 10 2 12 O 1.9415882673728742
21 10 3 5 O 1.9597002321783807
21 10 4 11 O 1.975861584220919
22 0 1 12 O 1.8145285889177938
22 0 2 8 O 1.834088602003731
22 0 3 6 O 1.9056431985028046
22 0 4 14 O 1.9185134870518894
22 1 1 4 O 1.7829542899356676
22 1 2 3 O 1.8141890750415184
22 1 3 6 O 1.8400263585068557
